# GENERATION MIN MAX AVG

110 276.569610 9166.523496 3332.904775
111 276.645680 9166.523496 3068.735969
112 276.569610 9166.523496 3332.904775
113 276.569610 9166.523496 3332.904775
114 276.569610 9166.523496 3332.904775
115 276.569610 9166.523496 3332.904775
116 276.569610 9166.523496 3332.904775
117 276.569610 9166.523496 3332.904775
118 276.569610 9166.523496 3332.904775
119 276.569610 9166.523496 3332.904775
120 276.569610 9166.523496 3332.904775
121 276.569610 9166.523496 3332.904775
122 276.569610 9166.523496 3332.904775
123 276.569610 9166.523496 3332.904775
124 276.569610 9166.523496 3332.904775
125 276.569610 9166.523496 3332.904775
125 276.569610 9166.523496 3332.904775
125 276.569610 9166.523496 3332.904775
126 275.416364 9166.523496 3319.227077
127 276.012114 9166.523496 3140.679716
128 277.342637 9166.523496 3188.399753
129 366.666098 9166.523496 3382.388789
130 284.721341 9166.523496 3283.450307
130 284.721341 9166.523496 3283.450307
131 275.172920 9166.523496 2267.269827
131 275.172920 9166.523496 2267.269827
132 334.864640 9166.523496 3268.160794
133 275.230005 9166.523496 2816.399506
134 275.699392 9166.523496 2464.219272
135 275.699392 9166.523496 2608.425174
136 274.706062 9166.523496 2782.716631
137 279.405148 9166.523496 3017.214076
138 277.832386 9166.523496 2986.300913
139 275.230005 9166.523496 2816.399506
140 275.699392 9166.523496 2464.219272
140 275.699392 9166.523496 2464.219272
140 275.699392 9166.523496 2464.219272
141 274.890827 9166.523496 2949.038600
142 279.405148 9166.523496 3075.597985
142 279.405148 9166.523496 3075.597985
143 276.295668 9166.523496 3233.129229
144 279.405148 9166.523496 2888.234283
145 277.832386 9166.523496 2986.300913
146 275.230005 9166.523496 2816.399506
147 275.699392 9166.523496 2464.219272
148 275.699392 9166.523496 2608.425174
149 274.706062 9166.523496 2782.716631
150 279.405148 9166.523496 3017.214076
150 279.405148 9166.523496 3017.214076
150 279.405148 9166.523496 3017.214076
151 279.032351 9166.523496 2656.688205
152 274.549836 9166.523496 2409.718426
153 276.522303 9166.523496 2323.254236
154 276.242509 9166.523496 2536.501959
155 276.522303 9166.523496 2323.254236
155 276.522303 9166.523496 2323.254236
155 276.522303 9166.523496 2323.254236
156 274.697567 9166.523496 2863.688679
157 275.108845 9166.523496 2718.968637
158 275.134488 9166.523496 2685.949175
159 274.627394 9166.523496 2308.217000
160 275.108845 9166.523496 2773.729809
160 275.108845 9166.523496 2773.729809
161 275.659206 9166.523496 3200.672216
162 275.108845 9166.523496 2718.968637
163 275.134488 9166.523496 2685.949175
164 274.627394 9166.523496 2308.217000
165 275.108845 9166.523496 2773.729809
166 275.108845 9166.523496 2718.968637
167 275.134488 9166.523496 2685.949175
168 274.627394 9166.523496 2308.217000
169 275.108845 9166.523496 2773.729809
170 275.108845 9166.523496 2718.968637
170 275.108845 9166.523496 2718.968637
170 275.108845 9166.523496 2718.968637
170 275.108845 9166.523496 2718.968637
170 275.108845 9166.523496 2718.968637
171 275.108845 8852.393470 2580.392157
172 275.108845 8852.393470 2302.090238
173 275.108845 8852.393470 2251.479239
174 275.108845 8852.393470 2108.272195
175 275.108845 8852.393470 2120.216442
176 275.108845 8852.393470 2120.216442
177 280.548720 8852.393470 2124.041350
178 280.548720 8852.393470 2124.041350
179 310.003430 8852.393470 2125.514085
180 310.003430 8852.393470 2125.514085
180 310.003430 8852.393470 2125.514085
181 310.003430 6348.791553 1736.563806
182 310.003430 7082.232735 1905.323274
183 310.003430 7082.232735 1829.134920
184 310.003430 7082.232735 1829.134920
185 310.003430 7082.232735 1834.059807
186 275.482624 7082.232735 1686.122479
187 275.482624 7082.232735 1684.419130
188 275.482624 3976.712348 1652.002114
189 274.781985 3976.712348 1536.320830
190 274.781985 3976.712348 1400.080412
191 274.781985 3976.712348 1401.076899
192 274.781985 3976.712348 1327.390468
193 274.781985 3976.712348 1312.731859
194 274.781985 3976.712348 1376.982422
195 274.781985 3976.712348 1502.293589
196 274.781985 3976.712348 1521.225911
197 274.781985 3976.712348 1403.908128
198 274.781985 3976.712348 1286.576828
199 275.079675 3976.712348 1450.322347
200 275.079675 5008.073741 1990.069925
200 275.079675 5008.073741 1990.069925
201 274.853362 5214.774347 1542.421001
202 274.853362 5214.774347 1570.920699
203 274.853362 3854.885280 1366.754498
204 274.853362 4519.659893 1292.339210
205 274.853362 3655.104889 1252.357371
206 279.089463 4641.911247 1398.723042
207 279.089463 4641.911247 1625.222225
208 274.853362 4641.911247 1410.698545
209 274.853362 5498.011610 1620.866672
210 274.853362 5498.011610 1588.784695
211 274.853362 5498.011610 1613.019743
212 274.615366 5497.762542 1608.708173
213 274.615366 5497.762542 1626.439859
214 274.615366 5498.011610 1781.125856
215 274.615366 4641.911247 1696.984532
216 274.615366 4641.911247 1750.314338
217 274.615366 12930.794221 2136.740989
218 274.615366 5101.572519 1542.666027
219 274.615366 5101.572519 1509.456623
220 274.615366 5101.572519 1542.906548
221 275.802439 3093.187423 1453.423140
222 275.802439 3093.187423 1373.335980
223 291.518235 3093.187423 1355.366237
224 291.518235 4414.389757 1648.398450
225 291.518235 3116.121328 1661.117416
226 291.518235 3257.440552 1556.407655
227 291.518235 4036.060512 1504.370355
228 305.361151 3698.849770 1549.533997
229 305.361151 4836.998984 1641.594838
230 292.159930 4796.887078 1565.561461
231 292.159930 4796.887078 1514.026896
232 305.361151 3560.680110 1451.833907
233 513.657642 4117.006267 1545.942598
234 274.962505 4836.628035 1503.646004
235 274.962505 3876.740936 1273.561614
236 274.962505 4489.345264 1325.617068
237 274.962505 4360.451016 1300.204432
238 274.962505 4360.451016 1289.776894
239 274.962505 4360.451016 1502.515566
240 274.962505 4360.451016 1452.398896
241 274.962505 5688.582105 1627.973622
242 278.442180 5697.368120 3178.993769
242 278.442180 5697.368120 3178.993769
242 278.442180 5697.368120 3178.993769
242 278.442180 5697.368120 3178.993769
242 278.442180 5697.368120 3178.993769
242 278.442180 5697.368120 3178.993769
242 278.442180 5697.368120 3178.993769
243 278.442180 6755.445875 4592.121835
244 366.965330 7610.644460 3997.071275
244 366.965330 7610.644460 3997.071275
244 366.965330 7610.644460 3997.071275
244 366.965330 7610.644460 3997.071275
245 366.965330 7610.644460 5031.269639
245 366.965330 7610.644460 5031.269639
245 366.965330 7610.644460 5031.269639
245 366.965330 7610.644460 5031.269639
245 366.965330 7610.644460 5031.269639
245 366.965330 7610.644460 5031.269639
245 366.965330 7610.644460 5031.269639
245 366.965330 7610.644460 5031.269639
245 366.965330 7610.644460 5031.269639
245 366.965330 7610.644460 5031.269639
246 366.965330 7610.644460 4721.737950
247 366.965330 7610.644460 4477.297639
247 366.965330 7610.644460 4477.297639
247 366.965330 7610.644460 4477.297639
247 366.965330 7610.644460 4477.297639
248 574.995967 8628.663897 5304.304251
249 574.995967 8993.543758 6149.394221
250 574.995967 10353.308306 7310.647653
251 280.187059 10353.308306 5814.640683
252 853.048599 10364.616659 6373.632349
253 574.995967 10364.616659 5560.738947
